Time,Distance,Injectivity
18861,2.1851623,1.450826165
22385,2.168776558,1.59790941
25081,2.182270757,1.777298468
23485,2.212233238,1.6345999
25836,2.050528039,1.860664065
23459,1.169210367,1.6345999
23469,0.611870776,1.645864765
23480,0.709209376,1.604718146
23496,0.917569912,1.620863766
25347,0.921454237,2.053692139
25956,2.249616902,1.866246057
26300,0.969801313,1.720113435
27556,1.425460296,1.921135647
25804,1.314286774,1.899389019
26738,0.936998643,1.740991398
25631,0.53320843,1.920249378
27975,0.830949641,1.921135647
28597,0.268576914,1.921135647
30802,0.674308348,1.84092396
27550,0.957681359,1.921135647
34829,0.849698506,2.040106041
36393,0.801951594,2.008155728
37556,0.708335956,2.130767437
38350,0.836644375,2.085548521
38239,0.435795467,2.126005243
38496,1.110339016,2.091031996
39014,1.500565177,2.06210891
39017,0.896273567,2.067758524
43355,0.631089004,2.420175922
41311,0.866136052,2.131365821
43436,0.758513563,2.384388214
43982,0.867247971,2.411971936
44454,0.966959133,11.96311575
44607,0.720191836,12.44164038
46218,0.430129641,8.209981396
46227,0.53157299,8.538380652
46191,0.579096387,7.975410499
46211,0.387104362,8.209981396
46226,1.059786641,8.092695948
47185,0.936683355,13.23578764
47207,0.341045791,12.84649977
48530,0.828061518,13.43043157
48531,1.326990375,13.62507551
46376,0.904674014,8.444552293
47786,0.70400122,12.25867508
50260,9.431695564,14.23063442
50467,9.706818856,13.23578764
51160,0.954737658,14.02733964
55243,0.680296752,13.82404487
59399,0.253991986,1.842172617
59403,0.489194923,1.842111723
61622,0.908635758,1.761018432
61634,0.508504423,1.829652997
62587,0.802057395,1.782365742
65230,1.520043295,0.966211376
65124,0.745563291,0.803923763
65243,0.546269625,0.934570955
67117,0.69646426,1.295147627
65337,0.324690866,1.080003505
66411,1.231752928,1.035141358
65235,0.437964961,0.943346269
67333,1.737412948,1.25634805
68810,0.523056077,1.399402055
67465,0.726839393,1.288560332
67325,0.505097688,1.225580343
67488,0.22651718,1.252624386
68660,0.742322865,1.252136827
68962,0.567202455,1.304385358
67666,0.502982291,1.226955854
68144,0.525473246,1.300141018
71208,1.985269852,1.226117493
68762,0.780069089,1.25724759
69160,1.998287646,1.351154847
67942,0.604298854,1.18517821
67946,1.426884698,1.174254908
69935,0.755879868,0.181667673
67785,0.877081302,1.24749068
72351,0.685677551,1.182237321
70260,0.652390855,1.74578677
70197,0.734811365,1.834702637
70813,1.104205585,1.180072051
72264,0.715944124,1.16957632
72036,0.447528443,1.205995016
72172,0.854762338,1.17552835
72719,2.069093564,1.171789867
72259,0.486598444,1.158307453
70069,0.338490856,1.212935227
72432,0.692479898,1.203842346
73606,0.711688113,1.203833444
72792,0.646554626,1.219157558
72408,0.645171391,1.160496018
72673,0.638927878,1.188626947
73421,0.596723655,1.140790837
73117,1.308932997,1.083494924
73169,0.730014836,1.209431642
74601,0.708329008,1.284187174
74643,0.951258958,1.263272074
72132,2.243065111,1.166141999
72394,0.925876116,1.214784932
72123,0.611355675,1.197591052
76131,11.60006557,0.222740365
75043,2.021780473,1.292553215
75832,1.935736049,1.216826425
75090,0.38730537,1.317651335
74567,0.821236763,1.227002694
74687,0.591693452,1.320626649
74865,0.544029979,1.257938675
75083,0.712567085,1.288370194
76061,0.846504235,1.263724292
76086,1.279541115,1.306240241
75407,1.848102182,1.316889246
76105,0.484466097,0.175928173
76178,0.635695807,0.325065253
75606,0.678434544,1.434277961
75646,0.807654336,1.214482258
75790,0.698081037,1.070049767
75820,0.914659976,1.187577908
75914,0.611325161,1.257254649
75303,0.784707498,1.254500119
